hash_digest,identity,extra
af9ec2b004d7,RmlsZToxMzA3NTM=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2NTc=,"[dm0.7, bN[0.902, 4.6], C4.0, s0.28]"
ab5f0eab8997,RmlsZToxMzA3NTQ=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2NjE=,"[dm0.7, bN[0.902, 4.6], C4.0, s1.0]"
c9d8be924ee7,RmlsZToxMzA3NTU=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2NjY=,"[dm0.7, bN[0.902, 4.6], C4.0, s1.72]"
f830572afac7,RmlsZToxMzA3MzI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2MTE=,"[dmTL, bN[0.95, 16.5], C4.0, s0.42]"
20131f397230,RmlsZToxMzA3MzQ=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2MDU=,"[dmTL, bN[0.95, 16.5], C4.0, s1.0]"
6f53044d346a,RmlsZToxMzA3MzY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2MDM=,"[dmTL, bN[0.95, 16.5], C4.0, s1.58]"
ff03489cde2f,RmlsZToxMzA3Mzg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1OTk=,"[dmTL, bN[1.097, 21.5], C4.0, s0.42]"
3ff5a99ddf73,RmlsZToxMzA3NDA=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2MDg=,"[dmTL, bN[1.097, 21.5], C4.0, s1.0]"
2a71ff941da6,RmlsZToxMzA3NDI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE2MTM=,"[dmTL, bN[1.097, 21.5], C4.0, s1.58]"
0f9f5508d0e5,RmlsZToxMzA3NDQ=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1OTg=,"[dmTL, bN[1.241, 27.9], C4.0, s0.42]"
0a89f830786d,RmlsZToxMzA3NDY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1OTA=,"[dmTL, bN[1.241, 27.9], C4.0, s1.0]"
3054f525f8e6,RmlsZToxMzA3NDg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1OTE=,"[dmTL, bN[1.241, 27.9], C4.0, s1.58]"
ef55f8757069,RmlsZToxMzA3MDc=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MDE=,"[dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s0.66]"
9de63095e6cb,RmlsZToxMzA3MTA=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0ODY=,"[dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s1.0]"
b405b821313d,RmlsZToxMzA3MTM=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MDI=,"[dmgeodetic, tdFalse, bN[0.823, 2.7], C4.2, s1.41]"
edd832da0a29,RmlsZToxMzA3MTY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0ODI=,"[dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s0.66]"
fafd00891923,RmlsZToxMzA3MTk=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0ODM=,"[dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s1.0]"
dd9e85848f48,RmlsZToxMzA3MjI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0OTA=,"[dmgeodetic, tdFalse, bN[0.959, 3.4], C4.2, s1.41]"
fb568c0d292a,RmlsZToxMzA3MjU=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0OTE=,"[dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s0.66]"
e2268a4e734f,RmlsZToxMzA3Mjg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0OTY=,"[dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s1.0]"
f63c42d662b6,RmlsZToxMzA3MzE=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0OTQ=,"[dmgeodetic, tdFalse, bN[1.089, 4.6], C4.2, s1.41]"
45f4aa92897d,RmlsZToxMzA3MDc=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NzM=,"[dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s0.66]"
64522d91d9ca,RmlsZToxMzA3MTA=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0ODE=,"[dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s1.0]"
1333b07c9199,RmlsZToxMzA3MTM=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0Njg=,"[dmgeologic, tdFalse, bN[0.823, 2.7], C4.2, s1.41]"
424dfe358635,RmlsZToxMzA3MTY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NjQ=,"[dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s0.66]"
c8b5c5b43dbd,RmlsZToxMzA3MTk=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NzY=,"[dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s1.0]"
31b440709d29,RmlsZToxMzA3MjI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0Njc=,"[dmgeologic, tdFalse, bN[0.959, 3.4], C4.2, s1.41]"
dff99ab380c9,RmlsZToxMzA3MjU=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NjA=,"[dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s0.66]"
4c81177b6156,RmlsZToxMzA3Mjg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NzU=,"[dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s1.0]"
3fa5263badf6,RmlsZToxMzA3MzE=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE0NjM=,"[dmgeologic, tdFalse, bN[1.089, 4.6], C4.2, s1.41]"
d248539ddf73,RmlsZToxMzA3MDc=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1Mzk=,"[dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s0.66]"
7e8917ec65e7,RmlsZToxMzA3MTA=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1Mzc=,"[dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s1.0]"
b0713da9c5bf,RmlsZToxMzA3MTM=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NTM=,"[dmgeodetic, tdTrue, bN[0.823, 2.7], C4.2, s1.41]"
7ebcaaa060fd,RmlsZToxMzA3MTY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NDQ=,"[dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s0.66]"
3b76331949b7,RmlsZToxMzA3MTk=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NTk=,"[dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s1.0]"
3f19b6053037,RmlsZToxMzA3MjI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NTE=,"[dmgeodetic, tdTrue, bN[0.959, 3.4], C4.2, s1.41]"
3ac1e355d8c9,RmlsZToxMzA3MjU=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NTg=,"[dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s0.66]"
c8c601e25689,RmlsZToxMzA3Mjg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NDE=,"[dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s1.0]"
2b5748922ea4,RmlsZToxMzA3MzE=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1NjI=,"[dmgeodetic, tdTrue, bN[1.089, 4.6], C4.2, s1.41]"
da85bfb604b1,RmlsZToxMzA3MDc=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MjI=,"[dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s0.66]"
16a1656467b7,RmlsZToxMzA3MTA=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MjM=,"[dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s1.0]"
a9e48a1a919d,RmlsZToxMzA3MTM=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MjA=,"[dmgeologic, tdTrue, bN[0.823, 2.7], C4.2, s1.41]"
9d7046e25d88,RmlsZToxMzA3MTY=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MTY=,"[dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s0.66]"
50d4ffad5f4f,RmlsZToxMzA3MTk=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1Mjk=,"[dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s1.0]"
d087e814958a,RmlsZToxMzA3MjI=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MTU=,"[dmgeologic, tdTrue, bN[0.959, 3.4], C4.2, s1.41]"
bdfbb70035b7,RmlsZToxMzA3MjU=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MzM=,"[dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s0.66]"
7ee87a6b9c5e,RmlsZToxMzA3Mjg=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MjY=,"[dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s1.0]"
dcee866bf709,RmlsZToxMzA3MzE=|SW52ZXJzaW9uU29sdXRpb25Ocm1sOjEyOTE1MzE=,"[dmgeologic, tdTrue, bN[1.089, 4.6], C4.2, s1.41]"
9822d2a365aa,RmlsZToxMjEwMzM=,"[runiform, d1]"
